dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
chen2023,149,0,The,2.0895,2.9243,-0.8348,8,1
chen2023,149,1,videostore,8.1533,18.4207,-10.2673,8,1
chen2023,149,2,rented,9.9331,11.7887,-1.8556,8,1
chen2023,149,3,the,1.3405,2.9243,-1.5838,8,1
chen2023,149,4,DVD,1.1169,10.9363,-9.8194,8,1
chen2023,149,5,the,5.6334,2.9243,2.7091,8,1
chen2023,149,6,customer,7.7888,10.1093,-2.3205,8,1
chen2023,149,7,.,5.6297,2.3026,3.3271,8,1
chen2023,149,8,<eos>,4.6358,2.3026,2.3332,8,1
chen2023,150,0,The,2.0893,2.9243,-0.8350,9,1
chen2023,150,1,videostore,8.1478,18.4207,-10.2729,9,1
chen2023,150,2,rented,9.9331,11.7887,-1.8556,9,1
chen2023,150,3,the,1.3404,2.9243,-1.5840,9,1
chen2023,150,4,DVD,1.1171,10.9363,-9.8192,9,1
chen2023,150,5,to,2.0279,3.6156,-1.5877,9,1
chen2023,150,6,the,2.2414,2.9243,-0.6830,9,1
chen2023,150,7,customer,1.9731,10.1093,-8.1362,9,1
chen2023,150,8,.,1.9177,2.3026,-0.3849,9,1
chen2023,150,9,<eos>,4.4252,2.3026,2.1226,9,1
chen2023,151,0,The,2.0893,2.9243,-0.8350,9,1
chen2023,151,1,videostore,8.1478,18.4207,-10.2729,9,1
chen2023,151,2,rented,9.9331,11.7887,-1.8556,9,1
chen2023,151,3,the,1.3404,2.9243,-1.5840,9,1
chen2023,151,4,customer,6.6676,10.1093,-3.4416,9,1
chen2023,151,5,to,4.1222,3.6156,0.5066,9,1
chen2023,151,6,the,1.6749,2.9243,-1.2494,9,1
chen2023,151,7,DVD,3.4577,10.9363,-7.4786,9,1
chen2023,151,8,.,2.7479,2.3026,0.4453,9,1
chen2023,151,9,<eos>,4.4060,2.3026,2.1034,9,1
chen2023,152,0,The,1.7709,2.9243,-1.1534,8,1
chen2023,152,1,bartender,1.5339,12.6649,-11.1310,8,1
chen2023,152,2,handed,4.9262,10.5459,-5.6198,8,1
chen2023,152,3,the,0.5551,2.9243,-2.3692,8,1
chen2023,152,4,lady,4.1570,9.3258,-5.1687,8,1
chen2023,152,5,the,2.4484,2.9243,-0.4760,8,1
chen2023,152,6,drink,1.0275,9.4410,-8.4136,8,1
chen2023,152,7,.,1.4382,2.3026,-0.8644,8,1
chen2023,152,8,<eos>,4.9275,2.3026,2.6249,8,1
chen2023,153,0,The,1.7709,2.9243,-1.1534,8,1
chen2023,153,1,bartender,1.5339,12.6649,-11.1310,8,1
chen2023,153,2,handed,4.9262,10.5459,-5.6198,8,1
chen2023,153,3,the,0.5551,2.9243,-2.3692,8,1
chen2023,153,4,drink,0.7123,9.4410,-8.7287,8,1
chen2023,153,5,the,4.8387,2.9243,1.9143,8,1
chen2023,153,6,lady,4.4549,9.3258,-4.8708,8,1
chen2023,153,7,.,2.7693,2.3026,0.4667,8,1
chen2023,153,8,<eos>,4.9542,2.3026,2.6516,8,1
chen2023,154,0,The,1.7709,2.9243,-1.1534,9,1
chen2023,154,1,bartender,1.5339,12.6649,-11.1310,9,1
chen2023,154,2,handed,4.9262,10.5459,-5.6198,9,1
chen2023,154,3,the,0.5551,2.9243,-2.3692,9,1
chen2023,154,4,drink,0.7123,9.4410,-8.7287,9,1
chen2023,154,5,to,0.8852,3.6156,-2.7304,9,1
chen2023,154,6,the,0.5707,2.9243,-2.3536,9,1
chen2023,154,7,lady,0.9726,9.3258,-8.3531,9,1
chen2023,154,8,.,1.2013,2.3026,-1.1012,9,1
chen2023,154,9,<eos>,4.7800,2.3026,2.4774,9,1
chen2023,155,0,The,1.7709,2.9243,-1.1534,9,1
chen2023,155,1,bartender,1.5339,12.6649,-11.1310,9,1
chen2023,155,2,handed,4.9262,10.5459,-5.6198,9,1
chen2023,155,3,the,0.5551,2.9243,-2.3692,9,1
chen2023,155,4,lady,4.1570,9.3258,-5.1687,9,1
chen2023,155,5,to,2.0873,3.6156,-1.5284,9,1
chen2023,155,6,the,0.5920,2.9243,-2.3323,9,1
chen2023,155,7,drink,6.5497,9.4410,-2.8914,9,1
chen2023,155,8,.,1.3590,2.3026,-0.9436,9,1
chen2023,155,9,<eos>,4.7245,2.3026,2.4219,9,1
chen2023,156,0,The,1.9298,2.9243,-0.9945,8,1
chen2023,156,1,magician,3.0043,12.5947,-9.5904,8,1
chen2023,156,2,threw,4.8467,10.4551,-5.6084,8,1
chen2023,156,3,the,1.5959,2.9243,-1.3284,8,1
chen2023,156,4,assistant,8.8805,9.8547,-0.9742,8,1
chen2023,156,5,the,5.0625,2.9243,2.1381,8,1
chen2023,156,6,hat,6.0009,10.2921,-4.2912,8,1
chen2023,156,7,.,3.1861,2.3026,0.8835,8,1
chen2023,156,8,<eos>,4.7638,2.3026,2.4613,8,1
chen2023,157,0,The,1.9298,2.9243,-0.9945,8,1
chen2023,157,1,magician,3.0043,12.5947,-9.5904,8,1
chen2023,157,2,threw,4.8467,10.4551,-5.6084,8,1
chen2023,157,3,the,1.5959,2.9243,-1.3284,8,1
chen2023,157,4,hat,2.4476,10.2921,-7.8445,8,1
chen2023,157,5,the,6.6549,2.9243,3.7306,8,1
chen2023,157,6,assistant,7.1154,9.8547,-2.7393,8,1
chen2023,157,7,.,5.7964,2.3026,3.4939,8,1
chen2023,157,8,<eos>,4.9242,2.3026,2.6216,8,1
chen2023,158,0,The,1.9298,2.9243,-0.9945,9,1
chen2023,158,1,magician,3.0043,12.5947,-9.5904,9,1
chen2023,158,2,threw,4.8467,10.4551,-5.6084,9,1
chen2023,158,3,the,1.5959,2.9243,-1.3284,9,1
chen2023,158,4,hat,2.4476,10.2921,-7.8445,9,1
chen2023,158,5,to,2.5970,3.6156,-1.0186,9,1
chen2023,158,6,the,0.5578,2.9243,-2.3665,9,1
chen2023,158,7,assistant,6.0383,9.8547,-3.8164,9,1
chen2023,158,8,.,1.6528,2.3026,-0.6498,9,1
chen2023,158,9,<eos>,4.7356,2.3026,2.4330,9,1
chen2023,159,0,The,1.9298,2.9243,-0.9945,9,1
chen2023,159,1,magician,3.0043,12.5947,-9.5904,9,1
chen2023,159,2,threw,4.8467,10.4551,-5.6084,9,1
chen2023,159,3,the,1.5959,2.9243,-1.3284,9,1
chen2023,159,4,assistant,8.8805,9.8547,-0.9742,9,1
chen2023,159,5,to,2.6916,3.6156,-0.9240,9,1
chen2023,159,6,the,0.4547,2.9243,-2.4697,9,1
chen2023,159,7,hat,7.4744,10.2921,-2.8177,9,1
chen2023,159,8,.,1.9332,2.3026,-0.3694,9,1
chen2023,159,9,<eos>,4.6517,2.3026,2.3491,9,1
chen2023,160,0,The,1.9155,2.9243,-1.0088,8,1
chen2023,160,1,sister,11.0121,9.3258,1.6863,8,1
chen2023,160,2,mailed,10.8873,12.6649,-1.7777,8,1
chen2023,160,3,the,1.0812,2.9243,-1.8431,8,1
chen2023,160,4,niece,12.9501,11.9269,1.0232,8,1
chen2023,160,5,the,3.4260,2.9243,0.5016,8,1
chen2023,160,6,letter,1.9891,9.3258,-7.3366,8,1
chen2023,160,7,.,2.3401,2.3026,0.0375,8,1
chen2023,160,8,<eos>,4.0782,2.3026,1.7756,8,1
chen2023,161,0,The,1.9155,2.9243,-1.0088,8,1
chen2023,161,1,sister,11.0121,9.3258,1.6863,8,1
chen2023,161,2,mailed,10.8873,12.6649,-1.7777,8,1
chen2023,161,3,the,1.0812,2.9243,-1.8431,8,1
chen2023,161,4,letter,3.3550,9.3258,-5.9708,8,1
chen2023,161,5,the,5.4920,2.9243,2.5676,8,1
chen2023,161,6,niece,10.7149,11.9269,-1.2121,8,1
chen2023,161,7,.,4.4464,2.3026,2.1438,8,1
chen2023,161,8,<eos>,4.3670,2.3026,2.0644,8,1
chen2023,162,0,The,1.9155,2.9243,-1.0088,9,1
chen2023,162,1,sister,11.0121,9.3258,1.6863,9,1
chen2023,162,2,mailed,10.8873,12.6649,-1.7777,9,1
chen2023,162,3,the,1.0813,2.9243,-1.8430,9,1
chen2023,162,4,letter,3.3559,9.3258,-5.9699,9,1
chen2023,162,5,to,0.8529,3.6156,-2.7627,9,1
chen2023,162,6,the,0.7316,2.9243,-2.1928,9,1
chen2023,162,7,niece,10.0586,11.9269,-1.8683,9,1
chen2023,162,8,.,2.6513,2.3026,0.3487,9,1
chen2023,162,9,<eos>,4.0726,2.3026,1.7700,9,1
chen2023,163,0,The,1.9155,2.9243,-1.0088,9,1
chen2023,163,1,sister,11.0121,9.3258,1.6863,9,1
chen2023,163,2,mailed,10.8873,12.6649,-1.7777,9,1
chen2023,163,3,the,1.0813,2.9243,-1.8430,9,1
chen2023,163,4,niece,12.9483,11.9269,1.0214,9,1
chen2023,163,5,to,1.3419,3.6156,-2.2737,9,1
chen2023,163,6,the,0.7608,2.9243,-2.1636,9,1
chen2023,163,7,letter,6.2993,9.3258,-3.0265,9,1
chen2023,163,8,.,1.9697,2.3026,-0.3329,9,1
chen2023,163,9,<eos>,3.9301,2.3026,1.6276,9,1
chen2023,164,0,The,2.0227,2.9243,-0.9017,8,1
chen2023,164,1,mother,2.1352,8.6565,-6.5213,8,1
chen2023,164,2,gave,3.6102,8.6337,-5.0236,8,1
chen2023,164,3,the,1.1731,2.9243,-1.7513,8,1
chen2023,164,4,daughter,4.3205,9.0533,-4.7329,8,1
chen2023,164,5,the,1.8981,2.9243,-1.0263,8,1
chen2023,164,6,candle,11.3718,11.7887,-0.4169,8,1
chen2023,164,7,.,2.1495,2.3026,-0.1530,8,1
chen2023,164,8,<eos>,4.7734,2.3026,2.4708,8,1
chen2023,165,0,The,2.0227,2.9243,-0.9017,8,1
chen2023,165,1,mother,2.1352,8.6565,-6.5213,8,1
chen2023,165,2,gave,3.6102,8.6337,-5.0236,8,1
chen2023,165,3,the,1.1731,2.9243,-1.7513,8,1
chen2023,165,4,candle,12.0872,11.7887,0.2985,8,1
chen2023,165,5,the,3.4268,2.9243,0.5025,8,1
chen2023,165,6,daughter,6.4234,9.0533,-2.6300,8,1
chen2023,165,7,.,2.9560,2.3026,0.6534,8,1
chen2023,165,8,<eos>,4.7312,2.3026,2.4286,8,1
chen2023,166,0,The,2.0227,2.9243,-0.9017,9,1
chen2023,166,1,mother,2.1352,8.6565,-6.5213,9,1
chen2023,166,2,gave,3.6102,8.6337,-5.0236,9,1
chen2023,166,3,the,1.1731,2.9243,-1.7513,9,1
chen2023,166,4,candle,12.0872,11.7887,0.2985,9,1
chen2023,166,5,to,1.0559,3.6156,-2.5598,9,1
chen2023,166,6,the,0.7635,2.9243,-2.1609,9,1
chen2023,166,7,daughter,4.5208,9.0533,-4.5325,9,1
chen2023,166,8,.,1.7769,2.3026,-0.5257,9,1
chen2023,166,9,<eos>,4.8505,2.3026,2.5479,9,1
chen2023,167,0,The,2.8860,2.9243,-0.0383,9,1
chen2023,167,1,mother,10.0639,8.6565,1.4074,9,1
chen2023,167,2,gave,5.1844,8.6337,-3.4494,9,1
chen2023,167,3,the,2.1400,2.9243,-0.7844,9,1
chen2023,167,4,daughter,5.5135,9.0533,-3.5398,9,1
chen2023,167,5,to,3.9356,3.6156,0.3200,9,1
chen2023,167,6,the,1.9043,2.9243,-1.0201,9,1
chen2023,167,7,candle,11.7398,11.7887,-0.0489,9,1
chen2023,167,8,.,1.8376,2.3026,-0.4650,9,1
chen2023,167,9,<eos>,4.8416,2.3026,2.5390,9,1
chen2023,168,0,The,2.6795,2.9243,-0.2449,8,1
chen2023,168,1,uncle,11.0972,10.4762,0.6210,8,1
chen2023,168,2,sold,8.2822,9.2797,-0.9975,8,1
chen2023,168,3,the,1.3271,2.9243,-1.5972,8,1
chen2023,168,4,father,9.2801,8.6115,0.6686,8,1
chen2023,168,5,the,5.3754,2.9243,2.4511,8,1
chen2023,168,6,truck,6.5621,10.0382,-3.4761,8,1
chen2023,168,7,.,1.9778,2.3026,-0.3248,8,1
chen2023,168,8,<eos>,4.8318,2.3026,2.5292,8,1
chen2023,169,0,The,2.6795,2.9243,-0.2449,8,1
chen2023,169,1,uncle,11.0972,10.4762,0.6210,8,1
chen2023,169,2,sold,8.2822,9.2797,-0.9975,8,1
chen2023,169,3,the,1.3271,2.9243,-1.5972,8,1
chen2023,169,4,truck,7.7996,10.0382,-2.2386,8,1
chen2023,169,5,the,5.0005,2.9243,2.0761,8,1
chen2023,169,6,father,6.4788,8.6115,-2.1327,8,1
chen2023,169,7,.,5.1883,2.3026,2.8857,8,1
chen2023,169,8,<eos>,5.0453,2.3026,2.7427,8,1
chen2023,170,0,The,2.6795,2.9243,-0.2449,9,1
chen2023,170,1,uncle,11.0972,10.4762,0.6210,9,1
chen2023,170,2,sold,8.2822,9.2797,-0.9975,9,1
chen2023,170,3,the,1.3271,2.9243,-1.5972,9,1
chen2023,170,4,truck,7.7996,10.0382,-2.2386,9,1
chen2023,170,5,to,1.9438,3.6156,-1.6718,9,1
chen2023,170,6,the,1.3750,2.9243,-1.5493,9,1
chen2023,170,7,father,5.5558,8.6115,-3.0557,9,1
chen2023,170,8,.,1.6672,2.3026,-0.6354,9,1
chen2023,170,9,<eos>,4.8457,2.3026,2.5431,9,1
chen2023,171,0,The,2.6795,2.9243,-0.2449,9,1
chen2023,171,1,uncle,11.0972,10.4762,0.6210,9,1
chen2023,171,2,sold,8.2822,9.2797,-0.9975,9,1
chen2023,171,3,the,1.3271,2.9243,-1.5972,9,1
chen2023,171,4,father,9.2801,8.6115,0.6686,9,1
chen2023,171,5,to,2.5400,3.6156,-1.0757,9,1
chen2023,171,6,the,1.2764,2.9243,-1.6479,9,1
chen2023,171,7,truck,7.4685,10.0382,-2.5696,9,1
chen2023,171,8,.,1.7448,2.3026,-0.5577,9,1
chen2023,171,9,<eos>,4.7749,2.3026,2.4723,9,1
chen2023,172,0,The,1.6527,2.9243,-1.2716,8,1
chen2023,172,1,contractor,11.2078,11.3306,-0.1228,8,1
chen2023,172,2,lent,10.3948,12.0892,-1.6944,8,1
chen2023,172,3,the,0.7183,2.9243,-2.2061,8,1
chen2023,172,4,homeowner,10.4933,13.3581,-2.8648,8,1
chen2023,172,5,the,1.4967,2.9243,-1.4276,8,1
