dataset,sentence_id,unit_idx,unit,s_lm,s_uni,rel,n_units,has_context
gibson2013,27,1,daughter,10.7208,9.0533,1.6675,9,0
gibson2013,27,2,passed,10.2755,9.3943,0.8812,9,0
gibson2013,27,3,the,2.4651,2.9243,-0.4592,9,0
gibson2013,27,4,bowl,12.2518,10.0613,2.1905,9,0
gibson2013,27,5,to,3.6955,3.6156,0.0799,9,0
gibson2013,27,6,the,0.9334,2.9243,-1.9910,9,0
gibson2013,27,7,mother,4.4697,8.6565,-4.1868,9,0
gibson2013,27,8,.,2.1286,2.3026,-0.1739,9,0
gibson2013,27,9,<eos>,6.2833,2.3026,3.9807,9,0
gibson2013,28,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,28,1,scuba,14.2910,13.1026,1.1885,9,0
gibson2013,28,2,instructor,5.9182,11.4641,-5.5460,9,0
gibson2013,28,3,rented,11.0926,11.7887,-0.6961,9,0
gibson2013,28,4,the,2.1447,2.9243,-0.7797,9,0
gibson2013,28,5,equipment,6.9153,9.4861,-2.5708,9,0
gibson2013,28,6,the,5.6575,2.9243,2.7332,9,0
gibson2013,28,7,tourist,10.3070,11.0555,-0.7485,9,0
gibson2013,28,8,.,5.0020,2.3026,2.6995,9,0
gibson2013,28,9,<eos>,6.2307,2.3026,3.9282,9,0
gibson2013,29,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,29,1,scuba,14.2910,13.1026,1.1885,9,0
gibson2013,29,2,instructor,5.9182,11.4641,-5.5460,9,0
gibson2013,29,3,rented,11.0926,11.7887,-0.6961,9,0
gibson2013,29,4,the,2.1447,2.9243,-0.7797,9,0
gibson2013,29,5,tourist,8.6770,11.0555,-2.3785,9,0
gibson2013,29,6,the,7.8602,2.9243,4.9359,9,0
gibson2013,29,7,equipment,10.0454,9.4861,0.5593,9,0
gibson2013,29,8,.,3.3619,2.3026,1.0593,9,0
gibson2013,29,9,<eos>,6.4511,2.3026,4.1486,9,0
gibson2013,30,0,The,3.9742,2.9243,1.0498,10,0
gibson2013,30,1,scuba,14.2910,13.1026,1.1885,10,0
gibson2013,30,2,instructor,5.9182,11.4641,-5.5460,10,0
gibson2013,30,3,rented,11.0926,11.7887,-0.6961,10,0
gibson2013,30,4,the,2.1447,2.9243,-0.7797,10,0
gibson2013,30,5,tourist,8.6770,11.0555,-2.3785,10,0
gibson2013,30,6,to,6.1771,3.6156,2.5615,10,0
gibson2013,30,7,the,1.3111,2.9243,-1.6132,10,0
gibson2013,30,8,equipment,10.5868,9.4861,1.1007,10,0
gibson2013,30,9,.,2.3890,2.3026,0.0864,10,0
gibson2013,30,10,<eos>,6.2382,2.3026,3.9356,10,0
gibson2013,31,0,The,3.9742,2.9243,1.0498,10,0
gibson2013,31,1,scuba,14.2910,13.1026,1.1885,10,0
gibson2013,31,2,instructor,5.9182,11.4641,-5.5460,10,0
gibson2013,31,3,rented,11.0926,11.7887,-0.6961,10,0
gibson2013,31,4,the,2.1447,2.9243,-0.7797,10,0
gibson2013,31,5,equipment,6.9153,9.4861,-2.5708,10,0
gibson2013,31,6,to,2.1123,3.6156,-1.5033,10,0
gibson2013,31,7,the,1.3759,2.9243,-1.5485,10,0
gibson2013,31,8,tourist,6.9532,11.0555,-4.1023,10,0
gibson2013,31,9,.,3.2393,2.3026,0.9367,10,0
gibson2013,31,10,<eos>,6.1068,2.3026,3.8042,10,0
gibson2013,32,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,32,1,boy,9.7210,8.8183,0.9027,8,0
gibson2013,32,2,handed,8.1241,10.5459,-2.4218,8,0
gibson2013,32,3,the,1.7855,2.9243,-1.1388,8,0
gibson2013,32,4,pencil,8.7726,11.6283,-2.8557,8,0
gibson2013,32,5,the,4.6647,2.9243,1.7404,8,0
gibson2013,32,6,girl,6.0319,8.3349,-2.3030,8,0
gibson2013,32,7,.,3.3468,2.3026,1.0442,8,0
gibson2013,32,8,<eos>,6.7031,2.3026,4.4005,8,0
gibson2013,33,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,33,1,boy,9.7210,8.8183,0.9027,8,0
gibson2013,33,2,handed,8.1241,10.5459,-2.4218,8,0
gibson2013,33,3,the,1.7855,2.9243,-1.1388,8,0
gibson2013,33,4,girl,4.4514,8.3349,-3.8834,8,0
gibson2013,33,5,the,3.0335,2.9243,0.1091,8,0
gibson2013,33,6,pencil,7.9471,11.6283,-3.6812,8,0
gibson2013,33,7,.,2.3052,2.3026,0.0026,8,0
gibson2013,33,8,<eos>,6.9693,2.3026,4.6668,8,0
gibson2013,34,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,34,1,boy,9.7210,8.8183,0.9027,9,0
gibson2013,34,2,handed,8.1241,10.5459,-2.4218,9,0
gibson2013,34,3,the,1.7855,2.9243,-1.1388,9,0
gibson2013,34,4,girl,4.4514,8.3349,-3.8834,9,0
gibson2013,34,5,to,1.4172,3.6156,-2.1984,9,0
gibson2013,34,6,the,1.2372,2.9243,-1.6871,9,0
gibson2013,34,7,pencil,11.1386,11.6283,-0.4898,9,0
gibson2013,34,8,.,1.9195,2.3026,-0.3831,9,0
gibson2013,34,9,<eos>,6.9807,2.3026,4.6782,9,0
gibson2013,35,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,35,1,boy,9.7210,8.8183,0.9027,9,0
gibson2013,35,2,handed,8.1241,10.5459,-2.4218,9,0
gibson2013,35,3,the,1.7855,2.9243,-1.1388,9,0
gibson2013,35,4,pencil,8.7726,11.6283,-2.8557,9,0
gibson2013,35,5,to,1.0653,3.6156,-2.5503,9,0
gibson2013,35,6,the,1.2346,2.9243,-1.6898,9,0
gibson2013,35,7,girl,3.8748,8.3349,-4.4601,9,0
gibson2013,35,8,.,2.1652,2.3026,-0.1373,9,0
gibson2013,35,9,<eos>,6.8413,2.3026,4.5387,9,0
gibson2013,36,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,36,1,nanny,14.6546,12.4571,2.1975,8,0
gibson2013,36,2,threw,9.9765,10.4551,-0.4787,8,0
gibson2013,36,3,the,2.4569,2.9243,-0.4675,8,0
gibson2013,36,4,toy,7.6614,10.8198,-3.1583,8,0
gibson2013,36,5,the,6.2256,2.9243,3.3012,8,0
gibson2013,36,6,child,6.0754,8.5172,-2.4418,8,0
gibson2013,36,7,.,3.5434,2.3026,1.2408,8,0
gibson2013,36,8,<eos>,5.7922,2.3026,3.4896,8,0
gibson2013,37,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,37,1,nanny,14.6546,12.4571,2.1975,8,0
gibson2013,37,2,threw,9.9765,10.4551,-0.4787,8,0
gibson2013,37,3,the,2.4569,2.9243,-0.4675,8,0
gibson2013,37,4,child,6.7346,8.5172,-1.7826,8,0
gibson2013,37,5,the,5.1921,2.9243,2.2677,8,0
gibson2013,37,6,toy,6.2599,10.8198,-4.5598,8,0
gibson2013,37,7,.,3.4796,2.3026,1.1770,8,0
gibson2013,37,8,<eos>,6.1367,2.3026,3.8341,8,0
gibson2013,38,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,38,1,nanny,14.6546,12.4571,2.1975,9,0
gibson2013,38,2,threw,9.9765,10.4551,-0.4787,9,0
gibson2013,38,3,the,2.4569,2.9243,-0.4675,9,0
gibson2013,38,4,child,6.7346,8.5172,-1.7826,9,0
gibson2013,38,5,to,2.8762,3.6156,-0.7395,9,0
gibson2013,38,6,the,0.5411,2.9243,-2.3832,9,0
gibson2013,38,7,toy,10.0533,10.8198,-0.7664,9,0
gibson2013,38,8,.,3.0292,2.3026,0.7266,9,0
gibson2013,38,9,<eos>,6.1555,2.3026,3.8529,9,0
gibson2013,39,0,The,3.9742,2.9243,1.0498,9,0
gibson2013,39,1,nanny,14.6546,12.4571,2.1975,9,0
gibson2013,39,2,threw,9.9765,10.4551,-0.4787,9,0
gibson2013,39,3,the,2.4569,2.9243,-0.4675,9,0
gibson2013,39,4,toy,7.6614,10.8198,-3.1583,9,0
gibson2013,39,5,to,3.7551,3.6156,0.1395,9,0
gibson2013,39,6,the,0.8873,2.9243,-2.0371,9,0
gibson2013,39,7,child,6.7371,8.5172,-1.7801,9,0
gibson2013,39,8,.,1.8228,2.3026,-0.4798,9,0
gibson2013,39,9,<eos>,5.7927,2.3026,3.4901,9,0
gibson2013,40,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,40,1,nephew,13.2438,11.4931,1.7507,8,0
gibson2013,40,2,mailed,12.4118,12.6649,-0.2532,8,0
gibson2013,40,3,the,1.8982,2.9243,-1.0261,8,0
gibson2013,40,4,postcard,10.1937,12.8039,-2.6102,8,0
gibson2013,40,5,the,6.3719,2.9243,3.4476,8,0
gibson2013,40,6,aunt,11.6954,11.1414,0.5540,8,0
gibson2013,40,7,.,3.5454,2.3026,1.2429,8,0
gibson2013,40,8,<eos>,5.7053,2.3026,3.4027,8,0
gibson2013,41,0,The,3.9742,2.9243,1.0498,8,0
gibson2013,41,1,nephew,13.2438,11.4931,1.7507,8,0
gibson2013,41,2,mailed,12.4118,12.6649,-0.2532,8,0
gibson2013,41,3,the,1.8982,2.9243,-1.0261,8,0
gibson2013,41,4,aunt,11.4645,11.1414,0.3231,8,0
gibson2013,41,5,the,4.5913,2.9243,1.6670,8,0
gibson2013,41,6,postcard,9.4861,12.8039,-3.3178,8,0
gibson2013,41,7,.,2.6093,2.3026,0.3067,8,0
gibson2013,41,8,<eos>,5.3293,2.3026,3.0267,8,0
gibson2013,42,0,The,3.9742,2.9243,1.0498,9,0
